#{"t_start": 1781067216.554743, "env_id": "None"}
r,l,t
-208.0,256,158.708498
-0.99412334,4,158.735313
-230.0,256,158.871851
-217.0,256,159.007825
-213.0,256,159.380155
-222.0,256,160.208656
-210.0,256,160.352805
-234.0,256,160.523523
-226.0,256,160.887382
-217.0,256,161.762341
-224.0,256,161.966602
-228.0,256,162.100068
-222.0,256,162.461535
-216.0,256,163.331158
-228.0,256,163.513183
-230.0,256,163.640374
-210.0,256,163.995531
-211.0,256,164.861634
-224.0,256,165.025198
-220.0,256,165.160916
-0.9702609,16,165.267137
-233.0,256,165.539984
-194.0,256,166.48354
-219.0,256,166.637106
-0.99608606,3,166.658155
-207.0,256,166.886326
-229.0,256,167.15793
-226.0,256,168.037698
-245.0,256,168.202528
-223.0,256,168.402754
-183.0,256,168.689637
-210.0,256,176.026903
-224.0,256,176.189676
-228.0,256,176.392335
-201.0,256,176.646206
-179.0,256,177.527374
-214.0,256,177.703974
-213.0,256,177.900215
-208.0,256,178.160217
-196.0,256,179.087911
-224.0,256,179.257991
-207.0,256,179.470496
-222.0,256,179.790031
-196.0,256,180.638203
-227.0,256,180.793417
-215.0,256,181.010653
-231.0,256,181.280749
-233.0,256,182.216413
-189.0,256,182.421416
-217.0,256,182.656728
-14.060419,31,182.840041
-210.0,256,182.925531
-202.0,256,183.796495
-212.0,256,183.991031
-208.0,256,184.408706
-204.0,256,184.505316
-0.94991773,26,184.653688
-200.0,256,185.446173
-197.0,256,185.616701
-219.0,256,185.999372
-203.0,256,186.256109
-181.0,256,187.013928
-204.0,256,187.196744
-227.0,256,187.730106
-187.35355,225,187.800423
-207.0,256,195.03961
0.97427857,14,195.11326
-222.0,256,195.190001
-183.0,256,195.546613
-216.0,256,195.604446
-198.0,256,196.49696
0.9762812,13,196.574815
-198.0,256,196.58558
-193.0,256,196.945259
-226.0,256,197.012469
-193.0,256,198.216223
-224.0,256,198.229284
-214.0,256,198.711828
-202.0,256,198.77442
-123.33856,145,199.71817
-181.0,256,199.998635
-221.0,256,200.014811
-201.0,256,200.461495
-203.0,256,201.289536
-235.0,256,201.57286
-197.0,256,201.595024
-213.0,256,202.016068
0.9822646,10,202.084354
0.99608606,3,202.114349
-195.0,256,202.799567
-210.0,256,203.078095
-210.0,256,203.088991
-199.0,256,203.671407
-200.0,256,204.511942
-190.0,256,234.46621
-216.0,256,234.486076
0.9437293,29,234.764007
-207.0,256,235.243863
-179.0,256,236.357972
-170.0,256,236.67401
-0.9802742,11,236.759697
-192.0,256,236.871702
-202.0,256,237.357471
-197.0,256,245.239954
-224.0,256,245.637283
-221.0,256,245.755781
-160.0,256,246.174341
-210.0,256,247.059526
0.9601432,21,247.225393
-129.59947,165,247.378527
-220.0,256,247.508072
-200.0,256,247.641374
-80.20206,94,248.209133
-192.0,256,249.324747
-204.0,256,249.510116
-208.0,256,249.76763
-186.0,256,250.434787
-206.0,256,251.48245
-0.9802742,11,251.569351
-191.0,256,251.650404
-173.0,256,251.882873
-206.0,256,252.432316
-226.0,256,253.343937
-211.0,256,253.420004
-190.0,256,253.609196
-19.120546,59,253.793178
-201.0,256,254.116655
0.9437293,29,254.309356
-208.0,256,255.047797
-206.0,256,255.309737
-208.0,256,255.511647
-221.0,256,255.984477
-190.0,256,256.671135
-177.0,256,256.924212
-201.0,256,257.108436
-0.9540211,24,257.260471
-0.98425096,9,257.334012
-211.0,256,257.668401
-0.97427857,14,257.78431
0.9802742,11,257.865699
-200.0,256,258.429968
-221.0,256,258.706018
-196.0,256,259.13818
-200.0,256,259.621935
-1.9682459,17,259.764752
-212.0,256,266.624247
-212.0,256,266.932766
-0.013766635,8,266.988723
-216.0,256,267.331869
-196.0,256,267.88311
-214.0,256,268.380374
-202.0,256,268.733663
-199.0,256,269.09899
-212.0,256,269.664924
-199.0,256,270.121589
-202.0,256,270.466225
-190.0,256,270.865037
-212.0,256,271.52899
-225.0,256,271.96902
-213.0,256,272.30209
-210.0,256,272.694645
-188.0,256,273.44396
0.9822646,10,273.53368
-221.0,256,273.926062
-190.0,256,274.262522
-88.74739,114,274.327309
-219.0,256,274.637538
-81.25261,114,275.077706
-196.0,256,275.683738
-199.0,256,276.041218
-202.0,256,276.371469
-201.0,256,276.857252
-173.0,256,277.572139
-220.0,256,278.156631
-204.0,256,278.501049
-207.0,256,278.973751
-206.0,256,279.71151
-216.0,256,280.092835
-211.0,256,280.417621
-197.0,256,280.802485
-202.0,256,287.897274
-184.0,256,288.329473
-217.0,256,288.668701
-212.0,256,289.135585
-177.0,256,289.896752
0.93332404,34,290.166507
-168.0,256,290.326327
-0.99608606,3,290.356969
-134.65767,227,290.450194
-207.0,256,291.155921
-199.0,256,292.090387
-181.0,256,292.294197
-211.0,256,292.421892
-212.0,256,293.130487
-206.0,256,294.100895
-0.9601432,21,294.29268
-209.0,256,294.335172
-176.0,256,294.437711
0.903552,48,294.633931
0.9270248,37,294.919411
-191.0,256,295.085977
-189.0,256,296.13072
-186.0,256,296.227078
-188.0,256,296.741354
-194.0,256,296.929816
-191.0,256,298.067531
-176.0,256,298.17009
0.95606613,23,298.247178
-180.0,256,298.665248
-177.0,256,298.830817
0.9375,32,299.072191
-166.0,256,300.021127
-196.0,256,300.102242
-163.0,256,300.507749
-210.0,256,300.889851
-180.0,256,301.785018
-205.0,256,301.861974
-194.0,256,302.250337
-201.0,256,302.627868
-101.27382,122,309.802132
-201.0,256,309.901277
-165.0,256,309.977601
-189.0,256,310.377491
-180.0,256,311.616192
-189.0,256,311.710631
-232.0,256,311.792287
0.9722718,15,311.843691
-194.0,256,312.217136
0.9901862,6,312.266688
0.9762812,13,312.365888
-191.0,256,313.560513
-176.0,256,313.740549
-200.0,256,313.78596
-210.0,256,314.32996
