log,bytes,run_directory_present,recorded_errors
launch_logs/fixed-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_122616.log,26169,True,
launch_logs/fixed-2eye-mlp_r2plus1d_yawrate_seed0_nenv8_20260623_220639.log,60177,True,
launch_logs/fixed-2eye-mlp_r2plus1d_yawrate_seed100_nenv8_20260623_220639.log,60665,True,
launch_logs/fixed-2eye-mlp_relative_heading0.25_seed0_nenv8_20260623_104255.log,18086,True,
launch_logs/fixed-2eye-mlp_relative_heading0.25_seed100_nenv8_20260623_104255.log,21101,True,
launch_logs/fixed-2eye-mlp_seed0_nenv8_20260622_214643.log,15992,True,
launch_logs/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_150830.log,15097,True,
launch_logs/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_160043.log,44089,True,
launch_logs/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_181249.log,87431,True,
launch_logs/fixed-2eye-mlp_yawrate_seed0_nenv8_20260623_214936.log,21884,True,ConnectionResetError: [Errno 104] Connection reset by peer
launch_logs/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_150830.log,15205,True,
launch_logs/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_160043.log,44387,True,
launch_logs/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_181249.log,88033,True,
launch_logs/fixed-2eye-mlp_yawrate_seed100_nenv8_20260623_214936.log,11736,True,
launch_logs/fixed-2eye-r2plus1d_yawrate_seed0_nenv8_20260623_214936.log,7412,True,
launch_logs/fixed-2eye-r2plus1d_yawrate_seed100_nenv8_20260623_214936.log,7440,True,
launch_logs/fixed-2eye-rppo_cyclopean_lstm_seed0_nenv8_20260624_095910.log,45138,True,
launch_logs/fixed-2eye-rppo_cyclopean_lstm_seed100_nenv8_20260624_095910.log,45518,True,
launch_logs/fixed-2eye-rppo_seed0_nenv8_20260622_214643.log,28384,True,
launch_logs/original-3eye-mlp_seed0_nenv8_20260622_214643.log,27566,True,
