run,seed,finished,config,checkpoint,final_policy,requested_steps,model,body,train_rewards,fitness_file,eval_blocks,episodes_per_block,first_eval_mean,best_eval_mean,last_eval_mean,best_eval_step,last_eval_step,best_video,hours_to_last_eval
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_150830,0,True,True,True,True,250000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,8.8566937,10,6,-495.6666564941406,1.5469461679458618,-7.828649044036865,175000,250000,evaluations/vis_6.mp4,0.3782305177777778
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_160043,0,True,True,True,True,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,0.0,30,6,-495.6666564941406,1.5469461679458618,-22.2972354888916,175000,750000,evaluations/vis_6.mp4,1.0699469708333333
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_181249,0,True,True,True,True,1500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-23.74834075,60,6,-495.6666564941406,2.0047802925109863,-24.928499221801758,975000,1500000,evaluations/vis_38.mp4,2.2060970650000002
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed100_nenv8_20260623_150830,100,True,True,True,True,250000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-55.357524600000005,10,6,-496.6666564941406,-6.7126288414001465,-11.739879608154297,200000,250000,evaluations/vis_7.mp4,0.3510734638888889
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed100_nenv8_20260623_160043,100,True,True,True,True,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-69.17947240000001,30,6,-496.6666564941406,-6.7126288414001465,-22.52976417541504,200000,750000,evaluations/vis_7.mp4,1.0045304908333335
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed100_nenv8_20260623_181249,100,True,True,True,True,1500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-44.383798,60,6,-496.6666564941406,9.363762855529785,-24.23526954650879,1075000,1500000,evaluations/vis_42.mp4,2.0153592344444444
logs/2026-06-23/bad_hunger,,False,False,False,False,,,,,,,,,,,,,,
logs/2026-06-23/fixed-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_122616,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelative,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;living_cost,0.0,12,6,-495.6666564941406,1.8670343160629272,0.0,200000,300000,evaluations/vis_7.mp4,0.32319627472222223
logs/2026-06-23/fixed-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_122616,100,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelative,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;living_cost,5.9083395,17,6,-495.3333435058594,2.66839599609375,0.0,325000,425000,evaluations/vis_12.mp4,0.5294351211111111
logs/2026-06-23/fixed-2eye-mlp_r2plus1d_yawrate_seed0_nenv8_20260623_220639,0,True,True,True,True,1000000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRate,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,244.6249965,40,6,-494.0328674316406,56.3626708984375,32.75969696044922,900000,1000000,evaluations/vis_35.mp4,1.6398908391666667
